ID,名前,パワー,価値(G),レア度,説明
fish_d9,オタマジャクシ,4,,D,カエルの子供。もうすぐ足が生えてくるかもしれない。
fish_d1,メダカ,5,,D,小さな淡水魚。群れで泳ぐ姿が可愛らしい。
fish_d2,フナ,6,,D,日本の河川でよく見られる魚。釣りはフナに始まりフナに終わると言われる。
fish_d3,クチボソ,7,,D,口が細いことからこの名がついた。すばしっこい。
fish_d4,ヌマエビ,8,,D,水草の間を動き回る小さなエビ。透き通った体が特徴。
fish_d6,ハゼ,10,,D,砂泥底に生息する愛嬌のある顔をした魚。天ぷらが美味しい。
fish_d5,ザリガニ,9,,D,大きなハサミを持つ淡水の甲殻類。後ろ向きに泳ぐのが得意。
fish_d7,タナゴ,11,,D,美しい婚姻色を持つことで知られる淡水魚。
fish_d8,ドジョウ,12,,D,細長い体で泥の中を泳ぐ。ひげがチャームポイント。
fish_c7,ブルーギル,14,,C,青みがかった体色が特徴。繁殖力が強い。
fish_c8,ウグイ,12,,C,酸性水にも強い生命力を持つ魚。婚姻色は鮮やかな朱色になる。
fish_c4,コイ,22,,C,生命力が非常に強く、長生きする魚。滝を登ると龍になると言われる。
fish_c1,アユ,15,,C,清流に住む魚。独特の香気があり、香魚とも呼ばれる。
fish_c5,ニジマス,25,,C,体側に虹色の帯があるのが特徴。釣りの対象として人気が高い。
fish_c6,ブラックバス,28,,C,北米原産の肉食魚。引きが強く、ゲームフィッシングで人気。
fish_c2,イワナ,18,,C,河川の最上流部に生息する。貪欲な肉食性を持つ。
fish_c3,ヤマメ,20,,C,体のパーマークが美しい、渓流の女王と呼ばれる魚。
fish_b7,ボラ,28,,B,よく水面からジャンプする姿が見られる。卵巣はカラスミになる。
fish_b6,カツオ,30,,B,高速で泳ぎ続ける回遊魚。たたきが絶品。
fish_b5,サワラ,55,,B,細長い体が特徴の大型肉食魚。春の訪れを告げる魚。
fish_b4,スズキ,50,,B,汽水域から海水域まで広く生息する。ルアーフィッシングの好敵手。
fish_b3,ブリ,45,,B,成長するにつれて名前が変わる出世魚。冬の味覚。
fish_b2,ヒラメ,40,,B,海底の砂に隠れて獲物を待つ。高級魚としても知られる。
fish_b1,タイ,35,,B,「めでたい」に通じる縁起の良い魚。味も姿も一級品。
fish_a5,エイ,60,,A,平べったい体と長い尾が特徴。優雅に泳ぐ姿は空飛ぶ絨毯のよう。
fish_a1,マグロ,70,,A,海の王様とも呼ばれる大型回遊魚。その巨体は高速で泳ぐための筋肉の塊。
fish_a3,ウナギ,65,,A,長い旅をして川に戻ってくる神秘的な魚。蒲焼きは日本の伝統食。
fish_a2,カジキ,85,,A,鋭く尖った吻が特徴。世界最速の魚類の一つ。
fish_a4,クエ,95,,A,磯の王者と呼ばれるハタ科の大型魚。味は絶品だが、釣るのは非常に困難。
fish_a6,チョウザメ,110,,A,古代魚の姿を残す大型魚。世界三大珍味の一つキャビアの親。
fish_s3,大王イカ,120,,S,世界最大級の無脊椎動物。深海の怪物クラーケンの正体とされる。
fish_s1,シーラカンス,130,,S,数億年前から姿を変えていない「生きた化石」。深海にひっそりと生息する。
fish_s2,リュウグウノツカイ,150,,S,銀色の長い体と赤い鰭が美しい深海魚。人魚のモデルとも言われる。
fish_s4,黄金のタイ,140,,S,全身が黄金に輝く伝説のタイ。釣り上げた者に巨万の富をもたらす。
fish_s5,伝説の海龍,200,,S,あらゆる海洋生物の頂点に立つ龍。その姿を見た者はいないとされる。
fish_ss1,伝説のクラーケン,250,,SS,船を襲い海に引きずり込むと言われる伝説の巨大生物。複数の触手を持つ。
fish_ss2,リヴァイアサン,300,,SS,旧約聖書にも記される巨大な海獣。その鱗はあらゆる武器を弾くという。
